participant session age sex frameRate key_answer_TR.corr key_answer_TR.rt key_answer_WM.corr key_answer_WM.rt key_num_ans_1.corr key_num_ans_2.corr key_num_ans_3.corr key_num_ans_4.corr shapesWM shapesAns shapesTR correct_key_WM conditionTR flicker_time
990 Evening 27 Female 60.0024001 1 0.8845 1 0.5692 0 0 0 0 shapes/triangle.png shapes/triangle.png shapes/circle.png y shapes/circle.png 6
990 Evening 27 Female 60.0024001 1 1.5498 1 401 0 0 0 0 shapes/circle.png shapes/circle.png shapes/triangle.png y shapes/triangle.png 6
990 Evening 27 Female 60.0024001 0 0.7336 1 0.3677 0 0 0 0 shapes/circle.png shapes/square.png shapes/circle.png n shapes/black.png 6
990 Evening 27 Female 60.0024001 0 0.5509 1 0.3675 0 0 0 0 shapes/triangle.png shapes/square.png shapes/circle.png n shapes/black.png 7
990 Evening 27 Female 60.0024001 1 0.8344 1 0.3675 0 0 0 0 shapes/circle.png shapes/circle.png shapes/circle.png y shapes/circle.png 7
990 Evening 27 Female 60.0024001 0 0.7004 1 0.3342 0 0 0 0 shapes/circle.png shapes/square.png shapes/circle.png n shapes/black.png 6
990 Evening 27 Female 60.0024001 0 535 1 0.6012 0 0 0 0 shapes/circle.png shapes/square.png shapes/circle.png n shapes/black.png 6
990 Evening 27 Female 60.0024001 1 0.7177 1 0.4519 1 1 1 1 shapes/circle.png shapes/circle.png shapes/circle.png y shapes/circle.png 7
990 Evening 27 Female 60.0024001 0 1.3676 1 0.3347 0 0 0 0 shapes/square.png shapes/square.png shapes/circle.png y shapes/circle.png 7
990 Evening 27 Female 60.0024001 1 2.3018 1 0.3187 0 0 0 0 shapes/triangle.png shapes/triangle.png shapes/circle.png y shapes/circle.png 6
990 Evening 27 Female 60.0024001 1 1.0676 1 0.4183 1 1 1 1 shapes/square.png shapes/square.png shapes/square.png y shapes/square.png 6
990 Evening 27 Female 60.0024001 1 0.5836 1 0.4508 0 0 0 0 shapes/square.png shapes/triangle.png shapes/square.png n shapes/black.png 6
990 Evening 27 Female 60.0024001 0 0.5012 1 1.4342 0 0 0 0 shapes/square.png shapes/square.png shapes/triangle.png y shapes/black.png 7
990 Evening 27 Female 60.0024001 1 0.4502 1 0.5178 1 1 1 1 shapes/square.png shapes/triangle.png shapes/circle.png n shapes/black.png 7
990 Evening 27 Female 60.0024001 1 2.0852 1 1.8724 1 1 1 1 shapes/triangle.png shapes/triangle.png shapes/circle.png y shapes/circle.png 6
990 Evening 27 Female 60.0024001 1 1.1677 1 0.5679 0 0 0 0 shapes/circle.png shapes/triangle.png shapes/square.png n shapes/black.png 7
990 Evening 27 Female 60.0024001 0 0.5848 1 0.5177 0 0 0 0 shapes/triangle.png shapes/square.png shapes/circle.png n shapes/black.png 7
990 Evening 27 Female 60.0024001 0 0.9376 1 0.4014 0 0 0 0 shapes/circle.png shapes/circle.png shapes/square.png y shapes/square.png 7
990 Evening 27 Female 60.0024001 0 3.2847 1 0.3994 0 0 0 0 shapes/circle.png shapes/circle.png shapes/square.png y shapes/square.png 7
990 Evening 27 Female 60.0024001 1 0.7028 1 884 0 0 0 0 shapes/triangle.png shapes/triangle.png shapes/square.png y shapes/black.png 7
990 Evening 27 Female 60.0024001 0 1.4513 1 0.4513 0 0 0 0 shapes/circle.png shapes/circle.png shapes/square.png y shapes/square.png 7
990 Evening 27 Female 60.0024001 0 1.2172 1 0.5508 0 0 0 0 shapes/circle.png shapes/square.png shapes/circle.png n shapes/black.png 6
990 Evening 27 Female 60.0024001 0 0.7347 1 0.3514 0 0 0 0 shapes/triangle.png shapes/triangle.png shapes/triangle.png y shapes/black.png 6
990 Evening 27 Female 60.0024001 0 1.3677 1 0.4334 1 1 1 1 shapes/circle.png shapes/circle.png shapes/circle.png y shapes/circle.png 6
990 Evening 27 Female 60.0024001 1 1.5505 1 0.3351 1 1 1 1 shapes/circle.png shapes/circle.png shapes/circle.png y shapes/circle.png 6
990 Evening 27 Female 60.0024001 0 1.7509 0 634 0 0 0 0 shapes/square.png shapes/square.png shapes/triangle.png y shapes/black.png 7
990 Evening 27 Female 60.0024001 1 0.9344 1 0.3679 0 0 0 0 shapes/square.png shapes/square.png shapes/square.png y shapes/black.png 6
990 Evening 27 Female 60.0024001 0 0.6177 1 0.3179 0 0 0 0 shapes/square.png shapes/square.png shapes/triangle.png y shapes/black.png 7
990 Evening 27 Female 60.0024001 1 0.6524 1 0.3709 0 0 0 0 shapes/square.png shapes/square.png shapes/square.png y shapes/square.png 6
990 Evening 27 Female 60.0024001 1 0.8344 1 0.4668 0 0 0 0 shapes/square.png shapes/triangle.png shapes/square.png n shapes/black.png 6
990 Evening 27 Female 60.0024001 0 0.7842 1 2.0507 0 0 0 0 shapes/triangle.png shapes/square.png shapes/circle.png n shapes/black.png 7
990 Evening 27 Female 60.0024001 1 784 1 0.4001 0 0 0 0 shapes/circle.png shapes/circle.png shapes/circle.png y shapes/circle.png 7
990 Evening 27 Female 60.0024001 0 0.5345 1 2.0843 0 0 0 0 shapes/square.png shapes/square.png shapes/triangle.png y shapes/black.png 7
990 Evening 27 Female 60.0024001 1 0.6506 1 0.8502 0 0 0 0 shapes/square.png shapes/triangle.png shapes/square.png n shapes/black.png 6
990 Evening 27 Female 60.0024001 0 1.0842 1 0.4179 0 0 0 0 shapes/circle.png shapes/circle.png shapes/square.png y shapes/square.png 7
990 Evening 27 Female 60.0024001 0 0.9183 1 0.4181 0 0 0 0 shapes/circle.png shapes/circle.png shapes/square.png y shapes/square.png 7
